date,ticker,n_comments,sentiment,users_holding,users_holding_lead,users_holding_lag,percent_change
2020-03-12,SDIV,0,none,5838,5929,5860,0.011774744027303718
2020-03-21,RTTR,0,none,14502,16564,14505,0.14195105136159936
2020-05-23,BOXL,0,none,2716,2716,2716,0
2020-05-26,CPRX,0,none,100159,100553,99031,0.015368924882107615
2020-05-22,TGB,0,none,7674,7674,7660,0.0018276762402089641
2020-03-23,CIG.C,0,none,180,177,174,0.01724137931034475
2020-05-13,BLNK,0,none,14560,14585,14433,0.010531421048984857
2020-03-23,SPHD,0,none,43219,45644,41537,0.09887570118207867
2020-04-09,RBGLY,0,none,5946,6153,5926,0.03830577117786027
2020-03-18,WATT,0,none,6357,6395,6353,0.006611049897686128
2020-03-24,OVV,0,none,7200,7363,7236,0.017551133222774906
2020-04-03,KTOV,0,none,3924,3871,3999,-0.032008002000500135
2020-03-19,CREG,0,none,10262,10630,10165,0.045745204131824924
2020-04-02,CTRM,0,none,1822,1888,1867,0.0112479914301018
2020-04-14,TEUM,0,none,29006,29003,29040,-0.0012741046831955538
2020-04-24,VUG,0,none,8256,8304,8244,0.00727802037845704
2020-05-11,JE,0,none,8737,8866,8627,0.02770372087631845
2020-05-20,VTIQ,0,none,76056,76759,75174,0.021084417484768636
2020-04-17,FCEL,0,none,61409,62109,60769,0.022050716648291058
2020-03-26,IRM,0,none,12975,13153,12816,0.026295255930087302
2020-05-19,RCUS,0,none,4954,4845,5006,-0.032161406312425145
2020-05-31,DUO,0,none,280,280,280,0
2020-04-20,CJJD,0,none,1701,1697,1711,-0.008182349503214503
2020-04-14,AMRS,0,none,5817,5860,5814,0.007911936704506406
2020-05-09,PLYA,0,none,6566,6726,6566,0.02436795613767906
2020-03-20,NEPT,0,none,27280,27332,27268,0.0023470734927386605
2020-03-16,STAG,0,none,11440,11505,11265,0.02130492676431417
2020-04-14,ZN,0,none,27484,27440,27542,-0.0037034347541935464
2020-03-09,SNDL,0,none,5621,5712,5608,0.01854493580599148
2020-04-24,EMAN,0,none,3853,3864,3824,0.010460251046025215
2020-03-20,AYTU,0,none,25416,31679,25316,0.2513430241744352
2020-03-05,CARS,0,none,846,837,831,0.0072202166064982976
2020-04-17,RCUS,0,none,11243,9562,7494,0.27595409661062176
2020-04-09,INVVY,0,none,1443,1435,1456,-0.014423076923076872
2020-04-05,PACD,0,none,19412,20575,19412,0.05991139501339382
2020-03-24,OCGN,0,none,13289,13973,13137,0.06363705564436328
2020-03-31,IZEA,0,none,3926,3888,3067,0.26768829475057054
2020-05-23,NVTA,0,none,15500,15500,15502,-1.2901561088896063e-4
2020-05-01,TRTX,0,none,19025,18982,19188,-0.01073587658953512
2020-04-09,FIVG,0,none,3786,3943,3710,0.06280323450134762
2020-04-09,DENN,0,none,4613,4899,4572,0.07152230971128604
2020-03-27,OGI,0,none,63600,66428,61933,0.07257843153084775
2020-03-19,GNUS,0,none,3381,3505,3353,0.04533253802564863
2020-05-28,AYTU,0,none,38722,39681,39040,0.016419057377049073
2020-05-26,ARKK,0,none,6734,6944,6471,0.07309534847782406
2020-04-15,NOVN,0,none,10994,10759,10779,-0.001855459690138228
2020-04-09,BLU,0,none,846,846,855,-0.010526315789473717
2020-05-21,PRPO,0,none,3336,3187,2771,0.15012630819198836
2020-04-06,YCBD,0,none,14216,15417,14000,0.1012142857142857
2020-05-31,BOTZ,0,none,24852,24976,24854,0.00490866661302003
2020-04-10,PLM,0,none,8203,8238,8203,0.0042667316835303115
2020-04-21,LLNW,0,none,30445,31601,30314,0.04245563106155581
2020-04-22,QEP,0,none,6801,7694,6490,0.18551617873651782
2020-04-17,YCBD,0,none,16516,16969,16371,0.03652800684136581
2020-05-23,NAKD,0,none,10613,10613,10615,-1.8841262364577283e-4
2020-04-12,TTI,0,none,5460,5809,5460,0.06391941391941391
2020-04-12,INUV,0,none,3089,3689,3089,0.19423761735189382
2020-05-03,SENS,0,none,13120,13211,13121,0.006859233290145594
2020-03-12,CIDM,0,none,868,887,873,0.016036655211912887
2020-05-06,MNKD,0,none,10936,10863,10890,-0.0024793388429752428
2020-05-20,NSANY,0,none,9931,10038,9839,0.020225632686248662
2020-03-26,NTDOY,0,none,56985,57597,57012,0.010260997684697903
2020-03-20,BTG,0,none,25794,26111,25416,0.027344979540447012
2020-04-29,TNXP,0,none,12020,12350,12059,0.024131354175304764
2020-03-31,HUSA,0,none,28630,28610,28563,0.0016454854181984224
2020-05-31,MTDR,0,none,15499,15200,15499,-0.01929156719788372
2020-03-18,BOXL,0,none,1322,1333,1316,0.012917933130699
2020-04-16,DENN,0,none,5391,5785,5274,0.096890405764126
2020-03-23,BAYRY,0,none,11923,12139,11612,0.04538408542886674
2020-03-20,NEE,0,none,7560,7658,7392,0.0359848484848484
2020-04-24,UGAZ,0,none,12208,13281,11689,0.13619642398836507
2020-05-27,NTDOY,0,none,67908,67984,67801,0.0026990752348785563
2020-05-01,CEI,0,none,37455,37770,37255,0.013823647832505781
2020-03-18,TEUM,0,none,28426,28549,28495,0.001895069310405395
2020-04-08,ADT,0,none,8914,9479,8644,0.09659879685330863
2020-03-02,VIG,0,none,6867,6980,6846,0.019573473561203647
2020-04-21,GNUS,0,none,4479,4489,4482,0.0015618027666219891
2020-04-27,OVV,0,none,9607,10039,9522,0.054295316110061
2020-05-03,FUJHY,0,none,9551,9611,9551,0.006282064705266377
2020-03-29,CLSK,0,none,631,660,631,0.045958795562599075
2020-05-02,TWO,0,none,43621,43938,43624,0.007197872730607013
2020-03-02,ARKK,0,none,5182,5246,5179,0.012936860397760208
2020-03-19,NTDOY,0,none,56389,56703,56222,0.008555369784070344
2020-03-04,FUJHY,0,none,7190,7244,7154,0.012580374615599688
2020-03-27,SDRL,0,none,6093,6165,6019,0.02425652101678022
2020-05-19,NOVN,0,none,11219,13775,11247,0.2247710500577933
